Description,Category,Urgency,Resolution,Cost
Sudden rupture of a steam boiler  releasing scalding steam.,Mechanical Failure,Critical,Provide Medical Aid and Replace Boiler,210000
Severe flooding of a hydroelectric power station's turbines.,Environmental Issue,Critical,Evacuate and Drain Station,165000
Uncontrolled release of hazardous chemicals in a chemical power plant.,Environmental Issue,Critical,Evacuate and Contain,155000
Complete loss of emergency backup systems in a data center.,Electrical Failure,Critical,Restore Emergency Power,135000
Major gas leak in a natural gas power plant's control room.,Environmental Issue,Critical,Evacuate and Isolate,175000
Catastrophic failure of a transmission line tower  disrupting power supply.,Structural Failure,Critical,Repair and Reinforce Tower,185000
Collapse of a coal storage silo onto critical equipment.,Structural Failure,Critical,Assess Damage and Rebuild,280000
Nuclear reactor coolant contamination with radioactive substances.,Radiation Issue,Critical,Contain and Decontaminate,240000
Loss of control in a hydroelectric power station with flooding risk.,Mechanical Failure,Critical,Shutdown and Evacuate,310000
Complete failure of a natural gas storage cavern  causing explosions.,Environmental Issue,Critical,Evacuate and Contain,260000
Massive transformer oil spill with extensive environmental impact.,Environmental Issue,Critical,Contain and Remediate,195000
Catastrophic failure of a geothermal well  releasing toxic gases.,Environmental Issue,Critical,Evacuate and Cap Well,215000
Total collapse of a nuclear reactor building.,Structural Failure,Critical,Evacuate and Contain,330000
Catastrophic explosion of a gas compressor station.,Mechanical Failure,Critical,Investigate and Rebuild,210000
Complete failure of a tidal power generation system's control system.,Electrical Failure,Critical,Recover and Redesign System,225000
Sudden turbine overspeed causing multiple fatalities.,Mechanical Failure,Critical,Inspect and Replace Components,260000
Major cyberattack leading to critical infrastructure disruption.,Cybersecurity Issue,Critical,Isolate and Recover,245000
Collapse of a high-voltage transmission tower  disrupting power distribution.,Structural Failure,Critical,Repair and Reinforce Tower,235000
Nuclear reactor core breach  leading to a radioactive release.,Radiation Issue,Critical,Evacuate and Contain,350000
Catastrophic boiler explosion with widespread property damage.,Mechanical Failure,Critical,Assess Damage and Rebuild,245000
Severe corrosion in a gas pipeline causing a rupture.,Corrosion Issue,Critical,Shut Down and Replace Section,210000
Massive wildfire threatening a remote gas power plant.,Environmental Issue,Critical,Evacuate and Firefight,325000
Complete failure of a tidal power generation system.,Mechanical Failure,Critical,Recover and Redesign System,335000
Loss of control in a nuclear fuel reprocessing facility.,Radiation Issue,Critical,Evacuate and Contain,360000
Catastrophic failure of a high-voltage substation  causing a fire.,Electrical Failure,Critical,Contain Fire and Rebuild,265000
Complete meltdown of a geothermal power plant's wellhead.,Environmental Issue,Critical,Contain and Cap Well,215000
Collapse of a wind turbine blade onto a public roadway.,Structural Failure,Critical,Secure Area and Replace Blade,230000
Sudden rupture of a steam boiler  releasing scalding steam.,Mechanical Failure,Critical,Provide Medical Aid and Replace Boiler,280000
Severe flooding of a hydroelectric power station's turbines.,Environmental Issue,Critical,Evacuate and Drain Station,265000
Uncontrolled release of hazardous chemicals in a chemical power plant.,Environmental Issue,Critical,Evacuate and Contain,255000
Complete loss of emergency backup systems in a data center.,Electrical Failure,Critical,Restore Emergency Power,235000
Major gas leak in a natural gas power plant's control room.,Environmental Issue,Critical,Evacuate and Isolate,325000
Catastrophic failure of a transmission line tower  disrupting power supply.,Structural Failure,Critical,Repair and Reinforce Tower,335000
Collapse of a coal storage silo onto critical equipment.,Structural Failure,Critical,Assess Damage and Rebuild,360000
Nuclear reactor coolant contamination with radioactive substances.,Radiation Issue,Critical,Contain and Decontaminate,330000
Loss of control in a hydroelectric power station with flooding risk.,Mechanical Failure,Critical,Shutdown and Evacuate,350000
Complete failure of a natural gas storage cavern  causing explosions.,Environmental Issue,Critical,Evacuate and Contain,310000
Massive transformer oil spill with extensive environmental impact.,Environmental Issue,Critical,Contain and Remediate,265000
Catastrophic failure of a geothermal well  releasing toxic gases.,Environmental Issue,Critical,Evacuate and Cap Well,295000
Total collapse of a nuclear reactor building.,Structural Failure,Critical,Evacuate and Contain,380000
Catastrophic explosion of a gas compressor station.,Mechanical Failure,Critical,Investigate and Rebuild,275000
Complete failure of a tidal power generation system's control system.,Electrical Failure,Critical,Recover and Redesign System,290000
Sudden turbine overspeed causing multiple fatalities.,Mechanical Failure,Critical,Inspect and Replace Components,325000
Major cyberattack leading to critical infrastructure disruption.,Cybersecurity Issue,Critical,Isolate and Recover,310000
Collapse of a high-voltage transmission tower  disrupting power distribution.,Structural Failure,Critical,Repair and Reinforce Tower,300000
Nuclear reactor core breach  leading to a radioactive release.,Radiation Issue,Critical,Evacuate and Contain,420000
Catastrophic boiler explosion with widespread property damage.,Mechanical Failure,Critical,Assess Damage and Rebuild,335000
Severe corrosion in a gas pipeline causing a rupture.,Corrosion Issue,Critical,Shut Down and Replace Section,290000
Massive wildfire threatening a remote gas power plant.,Environmental Issue,Critical,Evacuate and Firefight,365000
Complete failure of a tidal power generation system.,Mechanical Failure,Critical,Recover and Redesign System,375000
Loss of control in a nuclear fuel reprocessing facility.,Radiation Issue,Critical,Evacuate and Contain,400000
Catastrophic failure of a high-voltage substation  causing a fire.,Electrical Failure,Critical,Contain Fire and Rebuild,305000
Complete meltdown of a geothermal power plant's wellhead.,Environmental Issue,Critical,Contain and Cap Well,295000
Collapse of a wind turbine blade onto a public roadway.,Structural Failure,Critical,Secure Area and Replace Blade,310000
Sudden rupture of a steam boiler  releasing scalding steam.,Mechanical Failure,Critical,Provide Medical Aid and Replace Boiler,360000
Severe flooding of a hydroelectric power station's turbines.,Environmental Issue,Critical,Evacuate and Drain Station,345000
Uncontrolled release of hazardous chemicals in a chemical power plant.,Environmental Issue,Critical,Evacuate and Contain,335000
Complete loss of emergency backup systems in a data center.,Electrical Failure,Critical,Restore Emergency Power,315000
Major gas leak in a natural gas power plant's control room.,Environmental Issue,Critical,Evacuate and Isolate,405000
Catastrophic failure of a transmission line tower  disrupting power supply.,Structural Failure,Critical,Repair and Reinforce Tower,415000
Collapse of a coal storage silo onto critical equipment.,Structural Failure,Critical,Assess Damage and Rebuild,440000
Nuclear reactor coolant contamination with radioactive substances.,Radiation Issue,Critical,Contain and Decontaminate,420000
Loss of control in a hydroelectric power station with flooding risk.,Mechanical Failure,Critical,Shutdown and Evacuate,440000
Complete failure of a natural gas storage cavern  causing explosions.,Environmental Issue,Critical,Evacuate and Contain,390000
Massive transformer oil spill with extensive environmental impact.,Environmental Issue,Critical,Contain and Remediate,355000
Catastrophic failure of a geothermal well  releasing toxic gases.,Environmental Issue,Critical,Evacuate and Cap Well,375000
Total collapse of a nuclear reactor building.,Structural Failure,Critical,Evacuate and Contain,480000
Catastrophic explosion of a gas compressor station.,Mechanical Failure,Critical,Investigate and Rebuild,365000
Complete failure of a tidal power generation system's control system.,Electrical Failure,Critical,Recover and Redesign System,380000
Sudden turbine overspeed causing multiple fatalities.,Mechanical Failure,Critical,Inspect and Replace Components,415000
Major cyberattack leading to critical infrastructure disruption.,Cybersecurity Issue,Critical,Isolate and Recover,390000
Collapse of a high-voltage transmission tower  disrupting power distribution.,Structural Failure,Critical,Repair and Reinforce Tower,400000
Nuclear reactor core breach  leading to a radioactive release.,Radiation Issue,Critical,Evacuate and Contain,550000
Catastrophic boiler explosion with widespread property damage.,Mechanical Failure,Critical,Assess Damage and Rebuild,445000
Severe corrosion in a gas pipeline causing a rupture.,Corrosion Issue,Critical,Shut Down and Replace Section,400000
Massive wildfire threatening a remote gas power plant.,Environmental Issue,Critical,Evacuate and Firefight,435000
Complete failure of a tidal power generation system.,Mechanical Failure,Critical,Recover and Redesign System,445000
Loss of control in a nuclear fuel reprocessing facility.,Radiation Issue,Critical,Evacuate and Contain,480000
Catastrophic failure of a high-voltage substation  causing a fire.,Electrical Failure,Critical,Contain Fire and Rebuild,415000
